AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,bulbus arteriosus outer layer,bulbus arteriosus outer layer,UBERON:2005066,,,
heart,heart,UBERON:0000948,foramen of Panizza,foramen of Panizza,UBERON:0013220,,,,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,bulbus arteriosus inner layer,bulbus arteriosus inner layer,UBERON:2005068,,,
heart,heart,UBERON:0000948,heart elastic tissue,heart elastic tissue,UBERON:0003610,,,,,,
heart,heart,UBERON:0000948,cardiac muscle tissue,cardiac muscle tissue,UBERON:0001133,cardiac endomysium,cardiac endomysium,UBERON:0011897,,,
heart,heart,UBERON:0000948,endocardial cushion,endocardial cushion,UBERON:0002062,,,,,,
heart,heart,UBERON:0000948,cardial valve,cardial valve,UBERON:0000946,cusp of cardiac valve,cusp of cardiac valve,UBERON:0006009,,,
heart,heart,UBERON:0000948,cardiac jelly,cardiac jelly,UBERON:0003906,,,,,,
heart,heart,UBERON:0000948,atrioventricular region,atrioventricular region,UBERON:0011820,atrioventricular valve,atrioventricular valve,UBERON:0002133,chorda tendineae,chorda tendineae,UBERON:0005994
heart,heart,UBERON:0000948,fibrous ring of heart,fibrous ring of heart,UBERON:0006008,,,,,,
heart,heart,UBERON:0000948,epicardium,epicardium,UBERON:0002348,subepicardial layer of epicardium,subepicardial layer of epicardium,UBERON:0015128,,,
heart,heart,UBERON:0000948,cardiac mesenchyme,cardiac mesenchyme,UBERON:0009751,,,,,,
heart,heart,UBERON:0000948,apex of heart,apex of heart,UBERON:0002098,,,,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,ductus arteriosus,ductus arteriosus,UBERON:0005440,,,
heart,heart,UBERON:0000948,heart layer,heart layer,UBERON:0005983,,,,,,
heart,heart,UBERON:0000948,cardiac muscle tissue,cardiac muscle tissue,UBERON:0001133,,,,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract myocardium,outflow tract myocardium,UBERON:0004265,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract pericardium,outflow tract pericardium,UBERON:0004271,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract septum,outflow tract septum,UBERON:0004142,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,conotruncus,conotruncus,UBERON:0006060,,,
heart,heart,UBERON:0000948,atrioventricular region,atrioventricular region,UBERON:0011820,atrioventricular valve,atrioventricular valve,UBERON:0002133,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,bulbus cordis myocardium,bulbus cordis myocardium,UBERON:0005248,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,conotruncal ridge,conotruncal ridge,UBERON:0005967,,,
heart,heart,UBERON:0000948,mesentery of heart,mesentery of heart,UBERON:0003282,,,,,,
heart,heart,UBERON:0000948,inflow tract,inflow tract,UBERON:0034697,,,,,,
heart,heart,UBERON:0000948,cardiac septum,cardiac septum,UBERON:0002099,cardiac muscle tissue of cardiac septum,cardiac muscle tissue of cardiac septum,UBERON:0004492,,,
heart,heart,UBERON:0000948,coronary vessel,coronary vessel,UBERON:0005985,,,,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,,,,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,bulbus arteriosus middle layer,bulbus arteriosus middle layer,UBERON:2005067,,,
heart,heart,UBERON:0000948,cardiac skeleton,cardiac skeleton,UBERON:0004292,,,,,,
heart,heart,UBERON:0000948,cardial valve,cardial valve,UBERON:0000946,,,,,,
heart,heart,UBERON:0000948,atrioventricular region,atrioventricular region,UBERON:0011820,atrioventricular canal,atrioventricular canal,UBERON:0002087,atrioventricular canal endocardium,atrioventricular canal endocardium,UBERON:0003930
heart,heart,UBERON:0000948,interventricular foramen of heart,interventricular foramen of heart,UBERON:0013152,,,,,,
heart,heart,UBERON:0000948,heart vasculature,heart vasculature,UBERON:0018674,heart blood vessel,heart blood vessel,UBERON:0003498,,,
heart,heart,UBERON:0000948,cardial valve,cardial valve,UBERON:0000946,cardiac valve leaflet,cardiac valve leaflet,UBERON:0011741,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract endothelium,outflow tract endothelium,UBERON:0004699,,,
heart,heart,UBERON:0000948,heart vasculature,heart vasculature,UBERON:0018674,coronary capillary,coronary capillary,UBERON:0006966,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,aortico-pulmonary spiral septum,aortico-pulmonary spiral septum,UBERON:0006207,,,
heart,heart,UBERON:0000948,heart vasculature,heart vasculature,UBERON:0018674,,,,,,
heart,heart,UBERON:0000948,bulbo-ventricular groove,bulbo-ventricular groove,UBERON:0006212,,,,,,
heart,heart,UBERON:0000948,,,,,,,,,
heart,heart,UBERON:0000948,mesocardium,mesocardium,UBERON:0010277,,,,,,
heart,heart,UBERON:0000948,mesocardium,mesocardium,UBERON:0010277,pericardial sinus,pericardial sinus,UBERON:0010279,,,
heart,heart,UBERON:0000948,bulbus cordis,bulbus cordis,UBERON:0004706,,,,,,
heart,heart,UBERON:0000948,cardiac septum,cardiac septum,UBERON:0002099,,,,,,
heart,heart,UBERON:0000948,epicardium,epicardium,UBERON:0002348,subepicardial layer of epicardium,subepicardial layer of epicardium,UBERON:0015128,epicardial fat,epicardial fat,UBERON:0015129
heart,heart,UBERON:0000948,mesentery of heart,mesentery of heart,UBERON:0003282,dorsal mesocardium,dorsal mesocardium,UBERON:0005601,,,
heart,heart,UBERON:0000948,mesentery of heart,mesentery of heart,UBERON:0003282,dorsal mesocardium,dorsal mesocardium,UBERON:0005601,transverse pericardial sinus,transverse pericardial sinus,UBERON:0002248
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,aortic sac,aortic sac,UBERON:0005432,,,
heart,heart,UBERON:0000948,heart endothelium,heart endothelium,UBERON:0008307,,,,,,
heart,heart,UBERON:0000948,atrioventricular region,atrioventricular region,UBERON:0011820,,,,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract smooth muscle,outflow tract smooth muscle,UBERON:0004246,,,
heart,heart,UBERON:0000948,basal zone of heart,basal zone of heart,UBERON:0035213,,,,,,
heart,heart,UBERON:0000948,cardiac chamber,cardiac chamber,UBERON:0004151,,,,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,truncus arteriosus,truncus arteriosus,UBERON:0002061,,,
heart,heart,UBERON:0000948,outflow tract,outflow tract,UBERON:0004145,outflow tract cardiac jelly,outflow tract cardiac jelly,UBERON:0005263,,,
heart,heart,UBERON:0000948,atrioventricular region,atrioventricular region,UBERON:0011820,atrioventricular canal,atrioventricular canal,UBERON:0002087,,,
heart,heart,UBERON:0000948,epicardium,epicardium,UBERON:0002348,,,,,,
